subject_id,subject_name,periods_per_week,teacher,block_pattern,student_class,constraint,room,fixed_period
+พ23102,สุขศึกษาและพลศึกษา6,2.0,T047,2,"[1, 2, 3, 4]",,D316,
+ศ23102,ศิลปนาฏดุริยางค์6,2.0,T040,2,"[1, 2, 3, 4]",,,
+อ23102,ภาษาอังกฤษบูรณาการ2,3.0,T030,2-1,"[1, 2, 3, 4]",,,
+ค23201,คณิตศาสตร์เพิ่มเติม5,2.0,T004,2,"[1, 2, 3, 4]",,,
+ง23202,ทักษะงานช่าง,2.0,T001,2,"[1, 2, 3, 4]",,งานช่าง,
+อ23202,พัฒนาคำศัพท์,2.0,T031,2,"[1, 2, 3, 4]",,,
+,กิจกรรมแนะแนว,1.0,T038,1,"[1, 2, 3, 4]",,,
+,EFF3,1.0,E001,1,"[1, 2, 3, 4]",,,
+ม.4,,,,,,,,
+ท31102,ภาษาไทย2,2.0,T035,2,"[1, 2, 3, 4, 5]",,,
+ค31102,ความสัมพันธ์และสถิติ,3.0,T008,2-1,"[1, 2, 3]",,,
+,,3.0,E002,2-1,"[4, 5]",,,
+ว31104,การออกแบบเรขศิลป์ด้วยคอมพิวเตอร์,2.0,T013,2,"[1, 2, 3, 4, 5]",,"['D203', 'D204']",
+พ31102,สุขศึกษาและพลศึกษา2,1.0,E006,1,"[1, 2, 3, 4, 5]",,,
+ศ31102,ทัศนศิลป์และการออกแบบ,2.0,T039,2,"[1, 2, 3, 4, 5]",,C108-109,
+อ31102,ภาษาอังกฤษขั้นกลาง,3.0,T028,2-1,"[1, 2, 3, 4, 5]",,,
+ค31202,เรขาคณิตวิเคราะห์และฟังก์ชันตรีโกณมิติ,4.0,T006,2-2,"[1, 2, 3]",,,
+,,4.0,T003,2-2,"[4, 5]",,,
+ว31201,กลศาสตร์,4.0,T026,2-2,"[1, 2, 3, 4, 5]",,,
+ว31221,ปริมาณสารสัมพันธ์,4.0,T015,2-2,"[1, 2, 3]",,,
+,,4.0,E003,2-2,"[4, 5]",,,
+ว31241,พันธุศาสตร์และวิวัฒนาการ,4.0,T020,2-2,"[1, 2, 3, 4, 5]",,,
+ว31283,สัมมนาทางวิทยาศาสตร์,2.0,T017,2,[1],"type=SUB_GROUP, สอนพร้อมกัน",,MON_9-MON_10
+,,2.0,T022,2,[2],,,
+,,2.0,T003,2,[3],,,
+,,2.0,T011,2,[4],,,
+,,2.0,T027,2,[5],,,
+ว31284,การเขียนโปรแกรมคอมพิวเตอร์2,2.0,T014,2,"[1, 2, 3, 4, 5]",,,
+,กิจกรรมแนะแนว,1.0,T037,1,"[1, 2, 3, 4, 5]",,,
+,EFF4,1.0,T010,1,"[1, 2, 3, 4, 5]",,,
+ม.5,,,,,,,,
+ท32102,ภาษาไทย4,2.0,T036,2,"[1, 2, 3, 4, 5]",,,
+ค32102,ลำดับและอนุกรม,2.0,T005,2,"[1, 2, 3]",,,
+,,2.0,E004,2,"[4, 5]",,,
+ส32103,ภูมิศาสตร์,2.0,T042,2,"[1, 2, 3, 4, 5]",,,
+พ32102,สุขศึกษาและพลศึกษา4,1.0,T047,1,"[1, 2, 3, 4, 5]",,C101-102,
+ศ32101,นาฏศิลป์และดนตรี,1.0,T040,1,"[1, 2, 3, 4, 5]",,D321,
+อ32102,ภาษาอังกฤษบูรณาการ2,3.0,T029,2-1,"[1, 2, 3, 4, 5]",,,
+ท32201,ภาษาไทยเพื่อการเขียนงานวิชาการ,2.0,T036,2,"[1, 2, 3, 4, 5]",,,
+ค32202,แคลคูลัสเบื้องต้นและการประยุกต์,4.0,T007,2-2,"[1, 2, 3]",,,
+,,4.0,T002,2-2,"[4, 5]",,,
+ว32202,คลื่นแสง,4.0,T025,2-2,"[1, 2, 3]",,,
+,,4.0,T024,2-2,"[4, 5]",,,
+ว32222,กรด-เบสและเคมีไฟฟ้า,4.0,T018,2-2,"[1, 2, 3, 4, 5]",,,
+ว32242,ความหลากหลายทางชีวภาพ,4.0,T022,2-2,"[1, 2, 3]",,,
+,,4.0,E005,2-2,"[4, 5]",,,
+ว32283,การสื่อสารวิทยาศาสตร์ในยุคดิจิทัล,3.0,"['T016', 'T025', 'T021']",2-1,"[1, 2, 3]",type=MULTI_CLASS_TEAM ,A316,TUE_8-TUE_10
+,,3.0,,2-1,"[4, 5]",,,THU_8-THU_10
+,กิจกรรมแนะแนว,1.0,T037,1,"[1, 2, 3, 4, 5]",,,
+,EFF5,1.0,E001,1,"[1, 2, 3, 4, 5]",,,
+ม.6,,,,,,,,
+ท33102,คุณค่าของภาษาในวรรณคดีไทย2,2.0,T034,2,"[1, 2, 3, 4, 5]",,,
+ว33103,ฟิสิกส์พื้นฐาน,3.0,T027,2-1,"[1, 2, 3, 4, 5]",,,
+ส33102,ศาสนา3,2.0,T044,2,"[1, 2, 3]",,,
+,,2.0,T043,2,"[4, 5]",,,
+พ33102,สุขศึกษาและพลศึกษา6,1.0,T048,1,"[1, 2, 3, 4, 5]",,D316,
+ว33242,สรีรวิทยาของมนุษย์และสัตว์ขั้นสูง,2.0,T019,2,"[1, 2, 3, 4, 5]",,,
+อ33203,พัฒนาการอ่านและการเขียนภาษาอังกฤษเชิงบูรณาการ,2.0,T029,2,"[1, 2, 3, 4, 5]",,,
+,กิจกรรมแนะแนว,1.0,T037,1,"[1, 2, 3, 4, 5]",,,
+,EFF6,1.0,E001,1,"[1, 2, 3, 4, 5]",,,
